q_id,q_status,q_date,ia_date,wd_date,on_date,county_1,type_clean,type1,type2,type3,mw1,mw2,mw3
1A,COMPLETED,1999-11-01 08:00:00,,,2009-10-02 07:00:00,SAN DIEGO,,Combined Cycle,,,550.0,,
2,COMPLETED,2000-02-03 08:00:00,,,2009-01-06 08:00:00,CONTRA COSTA,,Combined Cycle,,,590.0,,
3,COMPLETED,2000-06-14 07:00:00,,,2013-06-01 07:00:00,RIVERSIDE,,Gas Turbine,Storage,,850.0,16.0,
4,COMPLETED,2000-08-08 07:00:00,,,2005-10-14 07:00:00,SAN DIEGO,,Combined Cycle,,,521.0,,
5,WITHDRAWN,2000-08-09 07:00:00,,,,SAN DIEGO,,Combined Cycle,,,900.0,,
6,WITHDRAWN,2000-08-23 07:00:00,,2011-06-16 17:56:36,,SAN JOAQUIN,,Combined Cycle,,,1156.0,,
7,COMPLETED,2000-10-06 07:00:00,,,2013-07-10 07:00:00,LOS ANGELES,,Combined Cycle,,,570.0,,
8,WITHDRAWN,2000-11-28 08:00:00,,,,SAN DIEGO,,Combined Cycle,,,750.0,,
9,WITHDRAWN,2000-12-01 08:00:00,,,,SAN LUIS OBISPO,,Combined Cycle,,,1200.0,,
10,WITHDRAWN,2001-05-02 07:00:00,,,,KINGS,,Combined Cycle,,,620.0,,
11A,COMPLETED,2002-07-26 07:00:00,,,2010-07-31 07:00:00,RIVERSIDE,,Combined Cycle,,,520.0,,
11,WITHDRAWN,2002-10-23 07:00:00,,,,SAN BERNARDINO,,Wind Turbine,,,63.0,,
12,COMPLETED,2002-12-16 08:00:00,,,2006-03-30 08:00:00,SOLANO,,Wind Turbine,,,150.0,,
13,COMPLETED,2003-01-03 08:00:00,,,2012-08-26 07:00:00,SAN DIEGO,,Storage,,,40.0,,
14,COMPLETED,2003-01-07 08:00:00,,,2009-10-02 07:00:00,SAN DIEGO,,Combined Cycle,,,65.0,,
15,WITHDRAWN,2003-01-17 08:00:00,,,,SAN BERNARDINO,,Wind Turbine,,,50.0,,
16,WITHDRAWN,2003-03-11 08:00:00,,,,SANTA BARBARA,,Wind Turbine,,,55.5,,
17,WITHDRAWN,2003-03-18 08:00:00,,,,RIVERSIDE,,Photovoltaic,,,520.0,,
18,WITHDRAWN,2003-04-15 07:00:00,,,,LOS ANGELES,,Wind Turbine,,,200.0,,
19,COMPLETED,2003-06-18 07:00:00,,,2005-09-30 07:00:00,SAN DIEGO,,Wind Turbine,,,46.0,,
20,COMPLETED,2003-09-04 07:00:00,,,2018-11-14 08:00:00,KERN,,Other,,,189.0,,
21,COMPLETED,2003-10-23 07:00:00,,,2006-12-28 08:00:00,CONTRA COSTA,,Wind Turbine,,,37.5499992370605,,
22,ACTIVE,2003-11-18 08:00:00,,,,SOLANO,,Wind Turbine,Storage,,38.0,38.0,
23,COMPLETED,2003-11-24 08:00:00,,,2005-10-01 07:00:00,SAN BERNARDINO,,Combined Cycle,,,72.0,,
24,COMPLETED,2004-01-30 08:00:00,,,2009-01-26 08:00:00,SOLANO,,Wind Turbine,,,150.0,,
25,WITHDRAWN,2004-02-05 08:00:00,,,,SAN DIEGO,,Wind Turbine,,,117.0,,
26,WITHDRAWN,2004-02-12 08:00:00,,,,SAN DIEGO,,Wind Turbine,,,36.0,,
27,WITHDRAWN,2004-02-23 08:00:00,,,,SAN DIEGO,,Combined Cycle,,,650.0,,
28,WITHDRAWN,2004-02-25 08:00:00,,,,SAN FRANCISCO,,Combustion Turbine,,,145.100006103516,,
29,WITHDRAWN,2004-03-29 08:00:00,,,,LAKE/SONOMA,,Wind Turbine,,,201.0,,
30,WITHDRAWN,2004-04-26 07:00:00,,,,SAN FRANCISCO,,Combustion Turbine,,,48.7000007629395,,
31,WITHDRAWN,2004-05-11 07:00:00,,,,KERN,,Wind Turbine,,,201.0,,
32,ACTIVE,2004-05-24 07:00:00,,,,SAN DIEGO,,Wind Turbine,,,193.8,,
33,COMPLETED,2004-07-12 07:00:00,,,2006-05-30 07:00:00,CHURCHILL,,Steam Turbine,,,10.0,,
34,WITHDRAWN,2004-07-19 07:00:00,,,,KERN,,Wind Turbine,,,300.0,,
35,WITHDRAWN,2004-10-25 07:00:00,,,,FRESNO,,Combustion Turbine,,,49.9000015258789,,
36,WITHDRAWN,2004-11-01 08:00:00,,,,STANISLAUS,,Combustion Turbine,,,99.9000015258789,,
