q_id,q_status,q_date,ia_date,wd_date,on_date,entity,project_name,developer,utility,county_1,county_2,county_3,state,region,service,poi_name,prop_date,IA_status_raw,IA_status_clean,type_clean,type1,type2,type3,mw1,mw2,mw3
2174,withdrawn,2021-04-15,,2022-12-29,,CAISO,CHARGER STORAGE,,SDGE,san diego,,,CA,CAISO,Full Capacity,Otay Mesa Switchyard 230 kV,,,Feasibility Study,Battery,Battery,,,616.0,,
1131,withdrawn,2015-04-30,,,,CAISO,ENERGY NUEVO STORAGE FARM (FKA NEW KEARNY ENERGY PARK),,PGAE,fresno,,,CA,CAISO,Full Capacity,New Kearny Substation 70kV bus,2020-05-01,,System Impact Study,Battery,Battery,,,20.0,,
caiso_c15_513,active,2023-04-17,,,,CAISO,Musketeers Solar 2,,SCE,tulare,,,CA,CAISO,,Magunden - Springville 230kV,,,In Progress (unknown study),Solar+Battery,Solar,Battery,,524.0,270.0,
169,withdrawn,2007-02-02,,2008-11-26,,CAISO,IMPERIAL SOLEIL,,SDGE,imperial,,,CA,CAISO,,Imperial Valley 230kV bus,,,Feasibility Study,Other,Steam Turbine,,,212.0,,
caiso_c15_182,active,2023-04-17,,,,CAISO,Zeitgeist K Energy Center,,PGAE,san joaquin,,,CA,CAISO,,Kasson Substation 115kV,2029-09-14,,In Progress (unknown study),Battery,Battery,,,258.0,,
465,withdrawn,2008-06-02,,2008-11-25,,CAISO,LITTLE ROCK SOLAR I,,SCE,kern,,,CA,CAISO,,Little Rock Substation 69 kV bus,2010-12-01,,Feasibility Study,Solar,Solar,,,40.0,,
caiso_c15_92,active,2023-04-17,,,,CAISO,Greyhound Storage,,PGAE,merced,,,CA,CAISO,,Los Banos 500kV,2027-10-01,,In Progress (unknown study),Battery,Battery,,,1000.0,,
124,operational,2006-08-22,2009-08-05,,2019-12-06,CAISO,SILVER RIDGE MOUNT SIGNAL,,SDGE,imperial,,,CA,CAISO,Full Capacity,Imperial Valley Substation 230 kV,2011-03-01,Executed,IA Executed,Solar,Solar,,,600.0,,
caiso_c15_521,active,2023-04-17,,,,CAISO,Lynchpin Solar,,PGAE,tulare,,,CA,CAISO,,Atwell Solar 115kV,,,In Progress (unknown study),Solar+Battery,Solar,Battery,,164.0,162.0,
728,withdrawn,2011-03-31,,,,CAISO,MARTELLA SOLAR,,PGAE,kings,,,CA,CAISO,Full Capacity,69 KV   POI is at a designated google coordinates,2013-03-01,,Feasibility Study,Solar,Solar,,,20.0,,
caiso_c15_28,active,2023-04-17,,,,CAISO,FORTIS 2,,PGAE,solano,,,CA,CAISO,,Birds Landing 230 kV,,,In Progress (unknown study),Battery,Battery,,,206.0,,
803,withdrawn,2011-03-31,,,,CAISO,CENTRAL VALLEY I SEGS,,PGAE,kern,,,CA,CAISO,Full Capacity,Midway - Wheeler Ridge #1 & #2 230 kV,2015-06-30,,Feasibility Study,Other,Steam Turbine,,,1080.0,,
caiso_c15_358,active,2023-04-17,,,,CAISO,Ulua,,SCE,los angeles,,,CA,CAISO,,Eagle Rock Substation 230kV,2027-04-01,,In Progress (unknown study),Battery,Battery,,,105.0,,
604,withdrawn,2010-02-01,,2010-11-24,,CAISO,IMPERIAL VALLEY GENERATION PROJECT,,SDGE,imperial,,,CA,CAISO,Full Capacity,Imperial Valley Substation 230kV,2014-04-01,,Feasibility Study,Gas,Gas,,,600.0,,
1968,active,2021-04-15,,,,CAISO,PLUM,,PGAE,kings,,,CA,CAISO,Full Capacity,Gates 230 kV,,,Facility Study,Solar+Battery,Solar,Battery,,1040.0,520.0,
caiso_c15_306,active,2023-04-17,,,,CAISO,Hyder Valley Farms,,SDGE,,,,CA,CAISO,,Hassayampa 500kV,,,In Progress (unknown study),Solar+Battery,Solar,Battery,,400.0,400.0,
caiso_c15_426,active,2023-04-17,,,,CAISO,Chokecherry and Sierra Madre Wind Energy Project,,TWE,carbon,,,WY,CAISO,,TWE Project Wyoming Terminal 345kV,2027-12-01,,In Progress (unknown study),Wind,Wind,,,3290.0,,
1856,active,2021-04-15,,,,CAISO,ARGES BESS,,PGAE,solano,,,CA,CAISO,Full Capacity,Vaca-Dixon 115 kV,2024-06-01,,Facility Study,Battery,Battery,,,102.0,,
401,withdrawn,2008-05-30,,,,CAISO,D TRAIN,,SCE,los angeles,,,CA,CAISO,,ChevGen Substation,2010-09-01,,Feasibility Study,Other,Steam Turbine,,,50.0,,
2047,withdrawn,2021-04-15,,,,CAISO,LONGMEADOW HYBRID SOLAR,,SCE,riverside,,,CA,CAISO,Full Capacity,Red Bluff Substation 220 kV,,,System Impact Study,Solar+Battery,Solar,Battery,,228.0,228.0,
caiso_c15_475,active,2023-04-17,,,,CAISO,Scorpio Storage,,SCE,san bernandino,,,CA,CAISO,,Victor Substation 230kV,,,In Progress (unknown study),Battery,Battery,,,600.0,,
2108,withdrawn,2021-04-15,,,,CAISO,RED DIAMOND SOLAR,,SCE,san bernardino,,,CA,CAISO,Full Capacity,Tortilla Substation 115 kV,,,Feasibility Study,Solar+Battery,Solar,Battery,,62.0,62.0,
