q_id,q_status,q_date,ia_date,wd_date,on_date,entity,project_name,developer,utility,county_1,county_2,county_3,state,region,service,poi_name,prop_date,IA_status_raw,IA_status_clean,type_clean,type1,type2,type3,mw1,mw2,mw3
A05,operational,1997-04-01,2000-12-15,,2002-06-01 00:00:00,PJM,Bergen,,PSEG,bergen,,,NJ,PJM,Capacity,Bergen,,IA Executed,IA Executed,Gas,Gas,,,500.0,,
A04,operational,1997-04-01,,,2006-05-01 00:00:00,PJM,"Linden 1, 2 & 3",,PPL,union,,,NJ,PJM,Capacity,Linden 230 kV or 138 kV,,IA Executed,IA Executed,Gas,Gas,,,750.0,,
A01,operational,1997-04-01,,,2002-04-01 00:00:00,PJM,Ironwood,,ME,lebanon,,,PA,PJM,Capacity,South Lebanon 230 KV,,IA Executed,IA Executed,Gas,Gas,,,720.0,,
A06,withdrawn,1997-04-01,,2000-08-28 00:00:00,,PJM,,,PSEG,gloucester,,,NJ,PJM,Capacity,Kearny,,System Impact Study,System Impact Study,Gas,Gas,,,750.0,,
A03,operational,1997-04-01,2000-04-24,,2000-06-01 00:00:00,PJM,Linden 5 & 6,,PSEG,union,,,NJ,PJM,Capacity,Linden 230 kV or 138 kV,,IA Executed,IA Executed,Gas,Gas,,,120.0,,
A02,operational,1997-04-01,2000-05-30,,2001-08-22 00:00:00,PJM,Chesapeake,,DPL,unknown,,,VA,PJM,Capacity,Oak Hall 138 kV (Oil CT),,IA Executed,IA Executed,Other,Oil,,,315.0,,
A07,withdrawn,1997-05-01,,2002-07-22 00:00:00,,PJM,,,PEPCO,montgomery,,,MD,PJM,Capacity,Dickerson 120 MW,,Facility Study,Facility Study,Gas,Gas,,,25.0,,
A08,operational,1997-06-01,,,2002-07-01 00:00:00,PJM,Susquehanna #1,,PPL,columbia,,,PA,PJM,Capacity,Susquehanna 230 kV,,IA Executed,IA Executed,Nuclear,Nuclear,,,15.0,,
A09,operational,1997-06-01,,,2003-05-01 00:00:00,PJM,Susquehanna #1,,PPL,columbia,,,PA,PJM,Capacity,Susquehanna 230 kV,,IA Executed,IA Executed,Nuclear,Nuclear,,,35.0,,
A10,operational,1997-06-02,,,2000-01-08 00:00:00,PJM,Colver Power,,PENELEC,cambria,,,PA,PJM,Capacity,Glory 115 kV,,System Impact Study,System Impact Study,Coal,Coal,,,6.0,,
A11,operational,1997-07-30,,,2002-04-01 00:00:00,PJM,Hazelton,,PPL,luzerne,,,PA,PJM,Capacity,Harwood 230 kV,,IA Executed,IA Executed,Gas,Gas,,,201.0,,
A12,operational,1997-08-20,,,2004-05-14 00:00:00,PJM,Lower Mt Bethel,,PPL,northampton,,,PA,PJM,Capacity,Martins Creek 230 kV,,IA Executed,IA Executed,Gas,Gas,,,600.0,,
A13,withdrawn,1997-11-26,,2004-06-01 00:00:00,,PJM,Mantua Creek Generating Station,,AEC,gloucester,,,NJ,PJM,Capacity,Mickleton 230 kV,,IA Executed,IA Executed,Gas,Gas,,,803.0,,
A14,withdrawn,1998-01-01,,2002-06-18 00:00:00,,PJM,,,PSEG,middlesex,,,NJ,PJM,Capacity,Sewaren,,System Impact Study,System Impact Study,Gas,Gas,,,500.0,,
A15,operational,1998-01-20,,,2002-02-01 00:00:00,PJM,"Red Oak CC1, CT1 - CT4",,JCPL,middlesex,,,NJ,PJM,Capacity,Sayreville 230 kV,,IA Executed,IA Executed,Gas,Gas,,,765.0,,
A16,withdrawn,1998-03-03,,2000-04-19 00:00:00,,PJM,,,PECO,gloucester,,,NJ,PJM,Capacity,Eagle Point 230 kV,,System Impact Study,System Impact Study,Gas,Gas,,,800.0,,
A17,withdrawn,1998-05-08,,2003-10-10 00:00:00,,PJM,,,PSEG,union,,,NJ,PJM,Capacity,Linden 230 kV,,Facility Study,Facility Study,Gas,Gas,,,300.0,,
A18,operational,1998-05-11,,,2002-12-01 00:00:00,PJM,,,ME,berks,,,PA,PJM,Capacity,North Temple 230 kV,,IA Executed,IA Executed,Gas,Gas,,,557.0,,
A19,operational,1998-05-15,2001-05-14,,2002-01-01 00:00:00,PJM,Liberty (Eddy),,PECO,delaware,,,PA,PJM,Capacity,Eddystone 230 kV,,IA Executed,IA Executed,Gas,Gas,,,521.0,,
A20,withdrawn,1998-07-09,,1999-07-18 00:00:00,,PJM,,,PPL,dauphin,,,PA,PJM,Capacity,Juniata 500 kV,,Feasibility Study,Feasibility Study,Gas,Gas,,,12.0,,
A21,operational,1998-08-17,,,2004-12-31 00:00:00,PJM,Phillips Island,,PECO,philadelphia,,,PA,PJM,Capacity,Chichester 230 kV,,IA Executed,IA Executed,Gas,Gas,,,725.0,,
A22,withdrawn,1998-08-20,,2000-08-28 00:00:00,,PJM,,,PSEG,hudson,,,NJ,PJM,Capacity,Hudson 230 kV,,System Impact Study,System Impact Study,Gas,Gas,,,750.0,,
A23,withdrawn,1998-10-13,,1999-07-23 00:00:00,,PJM,,,DPL,new castle,,,DE,PJM,Capacity,New Castle 138 kV,,Feasibility Study,Feasibility Study,Gas,Gas,,,257.0,,
A24,withdrawn,1998-10-28,,1999-06-26 00:00:00,,PJM,,,JCPL,middlesex,,,NJ,PJM,Capacity,South River 230 kV,,Feasibility Study,Feasibility Study,Gas,Gas,,,725.0,,
A25,withdrawn,1998-10-30,,2002-01-24 00:00:00,,PJM,,,PPL,northampton,,,PA,PJM,Capacity,Hosensack 500 kV,,Facility Study,Facility Study,Gas,Gas,,,1000.0,,
A26,operational,1998-11-02,,,2002-01-25 00:00:00,PJM,Tosco #6,,PSEG,union,,,NJ,PJM,Energy,Linden,,IA Executed,IA Executed,Gas,Gas,,,180.0,,
A28,operational,1998-11-04,,,2001-06-14 00:00:00,PJM,Kent,,DPL,kent,,,DE,PJM,Capacity,Dover,,IA Executed,IA Executed,Gas,Gas,,,100.0,,
A27,withdrawn,1998-11-04,,2002-04-30 00:00:00,,PJM,,,PECO,philadelphia,,,PA,PJM,Capacity,Passyunk 230 kV,,Facility Study,Facility Study,Gas,Gas,,,615.0,,
A29,operational,1998-11-18,2001-02-22,,2003-06-13 00:00:00,PJM,Rock Springs,,DPL,cecil,,,MD,PJM,Capacity,Colora Tap,,IA Executed,IA Executed,Gas,Gas,,,465.0,,
A30,operational,1998-12-03,,,2005-12-01 00:00:00,PJM,Rock Springs,,DPL,cecil,,,MD,PJM,Capacity,Colora Tap,,IA Executed,IA Executed,Gas,Gas,,,465.0,,
A31,operational,1998-12-22,,,2001-10-27 00:00:00,PJM,Archbald,,PPL,lackawanna,,,PA,PJM,Capacity,Peckville/Varden 69 kV,,IA Executed,IA Executed,Gas,Gas,,,44.0,,
B12_W02,operational,1999-01-01,,,2002-10-01 00:00:00,PJM,Oak Grove CT1 & CT2,,APS,pleasants,,,WV,PJM,Capacity,Oak Grove 138 kV,,System Impact Study,System Impact Study,Gas,Gas,,,300.0,,
B12_W01,operational,1999-01-01,,,2002-03-01 00:00:00,PJM,South Bend CT1 - CT4,,APS,armstrong,,,PA,PJM,Capacity,South Bend 500 kV,,System Impact Study,System Impact Study,Gas,Gas,,,600.0,,
B18_W03,operational,1999-01-01,,,2003-08-01 00:00:00,PJM,"Springdale CT3, CT4, ST5",,APS,allegheny,,,PA,PJM,Capacity,Springdale 138 kV,,IA Executed,IA Executed,Gas,Gas,,,525.0,,
A59_W00,operational,1999-01-01,,,2000-12-01 00:00:00,PJM,Springdale 1 & 2,,APS,allegheny,,,PA,PJM,Capacity,Springdale 138 kV,,System Impact Study,System Impact Study,Gas,Gas,,,88.0,,
A33,operational,1999-01-12,,,2000-11-01 00:00:00,PJM,Montour #2,,PPL,montour,,,PA,PJM,Capacity,Montour #2,,IA Executed,IA Executed,Coal,Coal,,,14.0,,
A34,operational,1999-01-12,,,2002-04-27 00:00:00,PJM,,,PPL,york,,,PA,PJM,Capacity,Brunner 230 kV,,IA Executed,IA Executed,Coal,Coal,,,14.0,,
A32,operational,1999-01-12,,,2001-06-19 00:00:00,PJM,Montour #1,,PPL,montour,,,PA,PJM,Capacity,Montour #1,,IA Executed,IA Executed,Coal,Coal,,,14.0,,
A35,operational,1999-01-13,2000-06-28,,2001-04-18 00:00:00,PJM,Grand Central Sanitary LF,,ME,northampton,,,PA,PJM,Capacity,North Bangor 34.5 kV,,IA Executed,IA Executed,Other,Methane,,,10.0,,
A38,withdrawn,1999-01-27,,2001-08-06 00:00:00,,PJM,,,PENELEC,crawford,,,PA,PJM,Capacity,Erie West 345 kV,,System Impact Study,System Impact Study,Gas,Gas,,,765.0,,
A46,withdrawn,1999-01-27,,1999-08-30 00:00:00,,PJM,,,JCPL,hunterdon,,,NJ,PJM,Capacity,Gilbert 115 kV,,System Impact Study,System Impact Study,Gas,Gas,,,100.0,,
A37,withdrawn,1999-01-27,,1999-09-08 00:00:00,,PJM,,,JCPL,middlesex,,,NJ,PJM,Capacity,Sayreville 230 kV,,Feasibility Study,Feasibility Study,Gas,Gas,,,749.0,,
A44,withdrawn,1999-01-27,,1999-10-22 00:00:00,,PJM,,,PENELEC,indiana,,,PA,PJM,Capacity,Shelocta 230 kV,,Feasibility Study,Feasibility Study,Gas,Gas,,,402.0,,
A45,withdrawn,1999-01-27,,1999-12-06 00:00:00,,PJM,,,JCPL,ocean,,,NJ,PJM,Capacity,Oyster Creek 230 kV,,Feasibility Study,Feasibility Study,Gas,Gas,,,752.0,,
A41,withdrawn,1999-01-27,,,,PJM,,,ME,dauphin,,,PA,PJM,Capacity,TMI 500 kV,,Feasibility Study,Feasibility Study,Gas,Gas,,,765.0,,
A39,withdrawn,1999-01-27,,2001-08-06 00:00:00,,PJM,,,JCPL,warren,,,NJ,PJM,Capacity,Pequest River 115 kV,,Feasibility Study,Feasibility Study,Gas,Gas,,,73.0,,
A42,withdrawn,1999-01-27,,2001-08-06 00:00:00,,PJM,,,JCPL,monmouth,,,NJ,PJM,Capacity,Atlantic 230 kV,,System Impact Study,System Impact Study,Gas,Gas,,,449.0,,
A40,withdrawn,1999-01-27,,1999-10-12 00:00:00,,PJM,,,ME,dauphin,,,PA,PJM,Capacity,TMI 500 kV,,Feasibility Study,Feasibility Study,Gas,Gas,,,1271.0,,
A36,operational,1999-01-27,2001-12-13,,2003-07-31 00:00:00,PJM,Hunterstown,,ME,adams,,,PA,PJM,Capacity,Hunterstown 500 kV,,IA Executed,IA Executed,Gas,Gas,,,830.0,,
A43,withdrawn,1999-01-27,,2003-07-20 00:00:00,,PJM,,,ME,northampton,,,PA,PJM,Capacity,Portland 230 kV,,Facility Study,Facility Study,Gas,Gas,,,472.0,,
A53,withdrawn,1999-02-03,,2002-01-15 00:00:00,,PJM,,,PENELEC,crawford,,,PA,PJM,Capacity,Titusville,,Facility Study,Facility Study,Gas,Gas,,,25.0,,
A52,withdrawn,1999-02-03,,2004-03-17 00:00:00,,PJM,,,PSEG,union,,,NJ,PJM,Energy,Linden,,System Impact Study,System Impact Study,Gas,Gas,,,180.0,,
