q_id,q_status,q_date,ia_date,wd_date,on_date,entity,project_name,developer,utility,county_1,county_2,county_3,state,region,service,poi_name,prop_date,IA_status_raw,IA_status_clean,type_clean,type1,type2,type3,mw1,mw2,mw3,queue
1A,operational,11/1/1999,,,10/2/2009,CAISO,OTAY MESA GENERATING PROJECT,,SDGE,san diego,,,CA,CAISO,,Otay Mesa Switchyard 230 kV,3/1/2002,Executed,IA Executed,Gas,Gas,,,550,,,1
2,operational,2/3/2000,,,1/6/2009,CAISO,GATEWAY GENERATING FACILITY (FKA CONTRA COSTA POWER PLANT PROJECT),,PGAE,contra costa,,,CA,CAISO,,Contra Costa Power Plant 230 kV bus,,Executed,IA Executed,Gas,Gas,,,590,,,2
3,operational,6/14/2000,,,6/1/2013,CAISO,CPV SENTINEL (FKA INTERGEN OCOTILLO),,SCE,riverside,,,CA,CAISO,Full Capacity,Devers Substation 230kV Bus,1/1/2004,Executed,IA Executed,Gas,Gas,,,850,,,3
4,operational,8/8/2000,,,,CAISO,PALOMAR ENERGY PROJECT,,SDGE,san diego,,,CA,CAISO,,Palomar Energy Switchyard 230 kV,6/1/2001,Executed,IA Executed,Gas,Gas,,,521,,,4
5,withdrawn,8/9/2000,,,,CAISO,ENCINA GENERATING PROJECT (PH. 1 AND 2),,SDGE,san diego,,,CA,CAISO,,Encina Power Plant Switchyard,6/30/2003,,System Impact Study,Gas,Gas,,,900,,,5
6,withdrawn,8/23/2000,,,,CAISO,TESLA POWER PLANT,,PGAE,san joaquin,,,CA,CAISO,,Tesla Sub 230kV Bus E,6/1/2008,,Facility Study,Gas,Gas,,,1156,,,6
7,operational,10/6/2000,3/6/2007,,7/10/2013,CAISO,NRG EL SEGUNDO - TOT041,,SCE,los angeles,,,CA,CAISO,,El Segundo 220 kV Bus,8/1/2009,Executed,IA Executed,Gas,Gas,,,570,,,7
8,withdrawn,11/28/2000,,,,CAISO,SAN DIEGO COMMUNITY POWER GENERATING STATION,,SDGE,san diego,,,CA,CAISO,,Sycamore Canyon Substation,6/1/2004,In Progress,System Impact Study,Gas,Gas,,,750,,,8
9,withdrawn,12/1/2000,,,,CAISO,MORRO BAY MODERNIZATION PROJECT,,PGAE,san luis obispo,,,CA,CAISO,,Morro Bay Substation,1/1/2008,Executed,IA Executed,Gas,Gas,,,1200,,,9
10,withdrawn,5/2/2001,,,,CAISO,AVENAL ENERGY PROJECT,,PGAE,kings,,,CA,CAISO,,Gates Substation (Arco - Gates 230 kV line),1/1/2009,Executed,IA Executed,Gas,Gas,,,620,,,10
11A,operational,7/26/2002,5/1/2008,,7/31/2010,CAISO,BLYTHE ENERGY PROJECT PHASE I,,SCE,riverside,,,CA,CAISO,Full Capacity,Julian Hinds Substation 230kV,6/1/2005,Executed,IA Executed,Gas,Gas,,,520,,,11
11,withdrawn,10/23/2002,,,,CAISO,DESERT POWER WIND PROJECT,,SCE,san bernardino,,,CA,CAISO,,Wheaton Substation,12/1/2004,Executed,IA Executed,Wind,Wind,,,63,,,12
12,operational,12/16/2002,,,3/30/2006,CAISO,"SHILOH WIND PARTNERS, LLC",,PGAE,solano,,,CA,CAISO,,Birds Landing Sub 230kV Bus,,Executed,IA Executed,Wind,Wind,,,150,,,13
