q_id,q_status,q_date,wd_date,on_date,county_1,type1,type2,type3,mw1,mw2,mw3
1A,operational,1999-11-01,,2009-10-02,san diego,Gas,,,550.0,,
2,operational,2000-02-03,,2009-01-06,contra costa,Gas,,,590.0,,
3,operational,2000-06-14,,2013-06-01,riverside,Gas,,,850.0,,
4,operational,2000-08-08,,,san diego,Gas,,,521.0,,
5,withdrawn,2000-08-09,,,san diego,Gas,,,900.0,,
6,withdrawn,2000-08-23,,,san joaquin,Gas,,,1156.0,,
7,operational,2000-10-06,,2013-07-10,los angeles,Gas,,,570.0,,
8,withdrawn,2000-11-28,,,san diego,Gas,,,750.0,,
9,withdrawn,2000-12-01,,,san luis obispo,Gas,,,1200.0,,
10,withdrawn,2001-05-02,,,kings,Gas,,,620.0,,
11A,operational,2002-07-26,,2010-07-31,riverside,Gas,,,520.0,,
11,withdrawn,2002-10-23,,,san bernardino,Wind,,,63.0,,
12,operational,2002-12-16,,2006-03-30,solano,Wind,,,150.0,,
13,operational,2003-01-03,,2012-08-26,san diego,Battery,,,40.0,,
14,operational,2003-01-07,,2009-10-02,san diego,Gas,,,65.0,,
15,withdrawn,2003-01-17,,,san bernardino,Wind,,,50.0,,
16,withdrawn,2003-03-11,,,santa barbara,Wind,,,56.0,,
17,withdrawn,2003-03-18,,,riverside,Solar,,,520.0,,
18,withdrawn,2003-04-15,,,los angeles,Wind,,,200.0,,
19,operational,2003-06-18,,2005-09-30,san diego,Wind,,,46.0,,
20,operational,2003-09-04,,,kern,Other,,,189.0,,
21,operational,2003-10-23,,,contra costa,Wind,,,38.0,,
22,active,2003-11-18,,,solano,Wind,Battery,,38.0,38.0,
23,operational,2003-11-24,,2005-10-01,san bernardino,Gas,,,72.0,,
24,operational,2004-01-30,,2009-01-26,solano,Wind,,,150.0,,
25,withdrawn,2004-02-05,,,san diego,Wind,,,117.0,,
26,withdrawn,2004-02-12,,,san diego,Wind,,,36.0,,
27,withdrawn,2004-02-23,,,san diego,Gas,,,650.0,,
28,withdrawn,2004-02-25,,,san francisco,Gas,,,145.0,,
29,withdrawn,2004-03-29,,,lake,Wind,,,201.0,,
30,withdrawn,2004-04-26,,,san francisco,Gas,,,49.0,,
31,withdrawn,2004-05-11,,,kern,Wind,,,201.0,,
32,active,2004-05-24,,,san diego,Wind,,,194.0,,
33,operational,2004-07-12,,2006-05-30,churchill,Steam Turbine,,,10.0,,
34,withdrawn,2004-07-19,,,kern,Wind,,,300.0,,
35,withdrawn,2004-10-25,,,fresno,Gas,,,50.0,,
36,withdrawn,2004-11-01,,,stanislaus,Gas,,,100.0,,
37,withdrawn,2004-11-08,,,san joaquin,Gas,,,75.0,,
39,operational,2004-11-11,,2012-12-04,solano,Wind,,,200.0,,
40,withdrawn,2004-11-11,,,alameda,Gas,,,118.0,,
38,operational,2004-11-11,,2010-09-29,humboldt,Gas,,,146.0,,
41,withdrawn,2004-11-18,,,kern,Gas,,,157.0,,
42,withdrawn,2004-11-26,,,fresno,Gas,,,300.0,,
43,withdrawn,2004-11-29,,,san joaquin,Gas,,,169.0,,
44,withdrawn,2004-11-29,,,madera,Gas,,,127.0,,
47,withdrawn,2004-12-01,,,fresno,Gas,,,201.0,,
48,withdrawn,2004-12-01,,,contra costa,Gas,,,590.0,,
46,withdrawn,2004-12-01,,,contra costa,Gas,,,531.0,,
45,operational,2004-12-01,,2013-08-08,alameda,Gas,,,354.0,,
50,operational,2004-12-21,,2010-06-07,riverside,Gas,,,810.0,,
51,operational,2004-12-21,,2006-05-30,fresno,Gas,,,0.55,,
52,operational,2004-12-21,,2009-05-28,fresno,Gas,,,401.0,,
53,withdrawn,2004-12-22,,,placer,Gas,,,117.0,,
54,operational,2005-01-12,,2009-05-04,fresno,Gas,,,120.0,,
56,withdrawn,2005-01-25,,,clark,Gas,,,634.0,,
57,operational,2005-02-08,,,colusa,Gas,,,715.0,,
58,withdrawn,2005-02-22,2013-10-11,,mineral,Steam Turbine,,,62.0,,
60,withdrawn,2005-03-28,,,kern,Gas,,,94.0,,
59,withdrawn,2005-03-28,,,kings,Gas,,,97.0,,
