n_renewable,n_non_renewable,n_storage,mw_renewable,mw_non_renewable,mw_storage
0.0,1.0,0.0,0.0,550.0,0.0
0.0,2.0,0.0,0.0,1140.0,0.0
0.0,3.0,0.0,0.0,1990.0,0.0
0.0,4.0,0.0,0.0,2511.0,0.0
0.0,5.0,0.0,0.0,3411.0,0.0
0.0,6.0,0.0,0.0,4567.0,0.0
0.0,7.0,0.0,0.0,5137.0,0.0
0.0,8.0,0.0,0.0,5887.0,0.0
0.0,9.0,0.0,0.0,7087.0,0.0
0.0,10.0,0.0,0.0,7707.0,0.0
0.0,11.0,0.0,0.0,8227.0,0.0
1.0,11.0,0.0,63.0,8227.0,0.0
2.0,11.0,0.0,213.0,8227.0,0.0
2.0,11.0,1.0,213.0,8227.0,40.0
2.0,12.0,1.0,213.0,8292.0,40.0
3.0,12.0,1.0,263.0,8292.0,40.0
4.0,12.0,1.0,319.0,8292.0,40.0
5.0,12.0,1.0,839.0,8292.0,40.0
6.0,12.0,1.0,1039.0,8292.0,40.0
7.0,12.0,1.0,1085.0,8292.0,40.0
7.0,13.0,1.0,1085.0,8481.0,40.0
8.0,13.0,1.0,1123.0,8481.0,40.0
9.0,13.0,2.0,1161.0,8481.0,78.0
9.0,14.0,2.0,1161.0,8553.0,78.0
10.0,14.0,2.0,1311.0,8553.0,78.0
11.0,14.0,2.0,1428.0,8553.0,78.0
12.0,14.0,2.0,1464.0,8553.0,78.0
12.0,15.0,2.0,1464.0,9203.0,78.0
12.0,16.0,2.0,1464.0,9348.0,78.0
13.0,16.0,2.0,1665.0,9348.0,78.0
13.0,17.0,2.0,1665.0,9397.0,78.0
14.0,17.0,2.0,1866.0,9397.0,78.0
15.0,17.0,2.0,2060.0,9397.0,78.0
15.0,18.0,2.0,2060.0,9407.0,78.0
16.0,18.0,2.0,2360.0,9407.0,78.0
16.0,19.0,2.0,2360.0,9457.0,78.0
16.0,20.0,2.0,2360.0,9557.0,78.0
16.0,21.0,2.0,2360.0,9632.0,78.0
17.0,21.0,2.0,2560.0,9632.0,78.0
17.0,22.0,2.0,2560.0,9750.0,78.0
17.0,23.0,2.0,2560.0,9896.0,78.0
17.0,24.0,2.0,2560.0,10053.0,78.0
17.0,25.0,2.0,2560.0,10353.0,78.0
17.0,26.0,2.0,2560.0,10522.0,78.0
17.0,27.0,2.0,2560.0,10649.0,78.0
