n_type_0,n_type_1,n_type_2,n_type_3,n_type_4,n_type_5,n_type_6,n_type_7,n_type_8,n_type_9,mw_type_0,mw_type_1,mw_type_2,mw_type_3,mw_type_4,mw_type_5,mw_type_6,mw_type_7,mw_type_8
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,620.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.0,620.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.0,620.0,2023.0,0.0,0.0,0.0,0.0,0.0
0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259.0,620.0,2023.0,0.0,0.0,0.0,0.0,0.0
0.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.0,620.0,2023.0,0.0,0.0,0.0,0.0,0.0
0.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,394.0,620.0,2023.0,0.0,0.0,0.0,0.0,0.0
0.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,594.0,620.0,2023.0,0.0,0.0,0.0,0.0,0.0
0.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,702.0,620.0,2023.0,0.0,0.0,0.0,0.0,0.0
0.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,822.0,620.0,2023.0,0.0,0.0,0.0,0.0,0.0
0.0,9.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,822.0,686.0,2023.0,0.0,0.0,0.0,0.0,0.0
0.0,10.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,881.0,686.0,2023.0,0.0,0.0,0.0,0.0,0.0
0.0,10.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,881.0,686.0,2023.0,430.0,0.0,0.0,0.0,0.0
0.0,10.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,881.0,702.0,2023.0,430.0,0.0,0.0,0.0,0.0
0.0,10.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,881.0,702.0,2023.0,430.0,0.0,0.0,0.0,0.0
0.0,10.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,881.0,702.0,2023.0,1355.0,0.0,0.0,0.0,0.0
0.0,10.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,881.0,702.0,2023.0,2105.0,0.0,0.0,0.0,0.0
0.0,11.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1031.0,702.0,2023.0,2105.0,0.0,0.0,0.0,0.0
0.0,12.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1181.0,702.0,2023.0,2105.0,0.0,0.0,0.0,0.0
0.0,13.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1411.0,702.0,2023.0,2105.0,0.0,0.0,0.0,0.0
0.0,14.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1641.0,702.0,2023.0,2105.0,0.0,0.0,0.0,0.0
0.0,14.0,5.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1641.0,702.0,2023.0,2105.0,0.0,0.0,0.0,0.0
0.0,15.0,5.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1924.0,702.0,2023.0,2105.0,0.0,0.0,0.0,0.0
0.0,16.0,5.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2324.0,702.0,2023.0,2105.0,0.0,0.0,0.0,0.0
0.0,17.0,5.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2724.0,702.0,2023.0,2105.0,0.0,0.0,0.0,0.0
0.0,17.0,5.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2724.0,702.0,2023.0,2605.0,0.0,0.0,0.0,0.0
