q_id,q_status,q_date,wd_date,on_date,county_1,type1,type2,type3,mw1,mw2,mw3
03INR0015,withdrawn,2001-09-06,,,cameron,Wind,,,80.0,,
03INR0024,withdrawn,2002-01-23,,,coke,Wind,,,80.0,,
05INR0010,operational,2002-06-06,,,jack,Gas,,,620.0,,
03INR0030b,withdrawn,2002-07-16,,,cottle,Wind,,,39.0,,
06INR0006,withdrawn,2002-07-29,,,hunt,Other Storage,,,2023.0,,
03INR0030a,withdrawn,2002-07-29,,,cottle,Wind,,,60.0,,
03INR0034,operational,2002-10-07,,,erath,Wind,,,60.0,,
04INR0012,withdrawn,2002-12-23,,,callahan,Wind,,,75.0,,
04INR0011d,operational,2002-12-23,,,shackelford,Wind,,,200.0,,
03INR0035,withdrawn,2003-06-24,,,howard,Wind,,,108.0,,
04INR0015,operational,2003-06-26,,,taylor,Wind,,,120.0,,
05INR0013,operational,2003-09-15,,,harris,Gas,,,66.0,,
04INR0017,operational,2003-09-15,,,howard,Wind,,,59.0,,
08INR0002,withdrawn,2003-09-25,,,milam,Coal,,,430.0,,
06INR0008,operational,2003-12-15,,,howard,Gas,,,16.0,,
05INR0014,operational,2003-12-16,,,scurry,Gas,,,0.0,,
09INR0001,operational,2003-12-24,,2013-07-16,mclennan,Coal,,,925.0,,
09INR0002,operational,2004-04-13,,,bexar,Coal,,,750.0,,
06INR0012b,operational,2004-06-03,,,pecos,Wind,,,150.0,,
06INR0012a,operational,2004-06-03,,,pecos,Wind,,,150.0,,
06INR0014,withdrawn,2004-06-10,,,nueces,Wind,,,230.0,,
06INR0015,withdrawn,2004-06-10,,,san patricio,Wind,,,230.0,,
06INR0016,operational,2004-06-21,,,brazoria,Gas,,,0.0,,
05INR0015a,operational,2004-08-05,,,kenedy,Wind,,,283.0,,
05INR0015b,withdrawn,2004-08-05,,,kenedy,Wind,,,400.0,,
05INR0015c,withdrawn,2004-08-05,,,kenedy,Wind,,,400.0,,
10INR0002,withdrawn,2004-09-07,,,anderson,Coal,,,500.0,,
05INR0017,operational,2004-09-24,,,borden,Wind,,,84.0,,
05INR0018b,operational,2004-10-18,,,taylor,Wind,,,220.0,,
05INR0018a,operational,2004-10-18,,,nolan,Wind,,,186.0,,
05INR0019,operational,2004-11-02,,,sterling,Wind,,,215.0,,
06INR0019,withdrawn,2004-12-13,,,jack,Wind,,,120.0,,
06INR0021,operational,2004-12-13,,,jack,Wind,,,120.0,,
06INR0022e,withdrawn,2004-12-20,,,kenedy,Wind,,,200.0,,
06INR0022a,operational,2004-12-20,,,kenedy,Wind,,,202.0,,
06INR0022c,operational,2004-12-20,,2016-06-24,kenedy,Wind,,,202.0,,
06INR0022f,withdrawn,2004-12-20,,,kenedy,Wind,,,200.0,,
06INR0022b,operational,2004-12-20,,,kenedy,Wind,,,202.0,,
06INR0022d,withdrawn,2004-12-20,,,kenedy,Wind,,,200.0,,
06INR0028,withdrawn,2005-03-03,,,nolan,Wind,,,100.0,,
06INR0029,withdrawn,2005-03-03,,,nolan,Wind,,,90.0,,
06INR0026,withdrawn,2005-03-03,,,howard,Wind,,,120.0,,
06INR0034,withdrawn,2005-03-03,,,webb,Wind,,,100.0,,
07INR0003,operational,2005-04-29,,,floyd,Wind,,,60.0,,
09INR0004,withdrawn,2005-05-09,,,milam,Coal,,,0.0,,
06INR0036b,operational,2005-05-11,,,ector,Coal,,,275.0,,
06INR0035b,operational,2005-05-11,,,wharton,Gas,,,275.0,,
06INR0035a,operational,2005-05-11,,,wharton,Gas,,,275.0,,
06INR0036a,operational,2005-05-11,,,ector,Gas,,,275.0,,
07INR0004,withdrawn,2005-05-17,,,gray,Coal,,,165.0,,
06INR0037,operational,2005-06-28,,,taylor,Wind,,,226.0,,
06INR0038,operational,2005-07-05,,,scurry,Wind,,,130.0,,
06INR0039,withdrawn,2005-07-12,,,dallas,Biomass,,,45.0,,
09INR0006b,operational,2005-07-27,,,robertson,Coal,,,855.0,,
09INR0006a,operational,2005-07-27,,,robertson,Coal,,,855.0,,
06INR0040,operational,2005-07-29,,,nolan,Wind,,,224.0,,
11INR0001,withdrawn,2005-08-30,,,robertson,Biomass,,,630.0,,
07INR0005,operational,2005-09-07,,,ector,Wind,,,93.0,,
01INR0036,operational,2005-09-07,,,nolan,Wind,,,136.0,,
04INR0011c,withdrawn,2005-10-19,,,shackelford,Wind,,,100.0,,
04INR0011b,withdrawn,2005-10-19,,,shackelford,Wind,,,136.0,,
04INR0011a,operational,2005-10-19,,,shackelford,Wind,,,200.0,,
07INR0008,withdrawn,2005-10-27,,,howard,Wind,,,35.0,,
09INR0007,operational,2005-11-03,,,nacogdoches,Biomass,,,100.0,,
06INR0041,withdrawn,2005-11-03,,,newton,Gas,,,1160.0,,
08INR0003,operational,2005-11-10,,,milam,Coal,,,581.0,,
07INR0010,operational,2005-11-14,,,martin,Wind,,,120.0,,
07INR0011,operational,2005-12-05,,,nolan,Wind,,,170.0,,
07INR0012,withdrawn,2005-12-06,,,ector,Wind,,,240.0,,
07INR0013,withdrawn,2005-12-12,,,coke,Wind,,,200.0,,
07INR0018,operational,2005-12-19,,,coke,Wind,,,200.0,,
07INR0017,withdrawn,2005-12-19,,,erath,Wind,,,210.0,,
07INR0014a,withdrawn,2005-12-19,,,wilbarger,Wind,,,140.0,,
07INR0015,withdrawn,2005-12-19,,,foard,Wind,,,180.0,,
07INR0021,withdrawn,2005-12-21,,,coke,Wind,,,249.0,,
07INR0022,operational,2005-12-21,,,howard,Wind,,,150.0,,
07INR0027,operational,2006-01-06,,,galveston,Gas,,,244.0,,
07INR0023,operational,2006-01-18,,,nolan,Wind,,,300.0,,
07INR0025,withdrawn,2006-01-26,,,dawson,Wind,,,183.0,,
07INR0026,withdrawn,2006-01-26,,,baylor,Wind,,,400.0,,
07INR0028b,operational,2006-01-30,,,sterling,Wind,,,70.0,,
07INR0028,operational,2006-01-30,,,sterling,Wind,,,70.0,,
08INR0005,withdrawn,2006-02-14,,,wise,Gas,,,291.0,,
07INR0029,operational,2006-02-20,,,taylor,Wind,,,98.0,,
07INR0035,withdrawn,2006-03-14,,,tom green,Wind,,,270.0,,
07INR0032,withdrawn,2006-03-14,,,tom green,Wind,,,249.0,,
07INR0033,withdrawn,2006-03-14,,,taylor,Wind,,,200.0,,
07INR0031,withdrawn,2006-03-14,,,schleicher,Wind,,,149.0,,
07INR0036,withdrawn,2006-03-14,,,borden,Wind,,,225.0,,
07INR0030,operational,2006-03-14,,,nolan,Wind,,,138.0,,
07INR0034,operational,2006-03-14,,,cooke,Wind,,,113.0,,
07INR0037,operational,2006-03-17,,,borden,Wind,,,180.0,,
07INR0045e,operational,2006-03-31,,,scurry,Wind,,,209.0,,
11INR0002,withdrawn,2006-04-24,,,mclennan,Coal,,,800.0,,
