q_id,q_status,q_date,wd_date,on_date,county_1,type1,type2,type3,mw1,mw2,mw3
1,operational,1996-06-07,,2001-04-06,worcester,Oil,,,0.0,,
2,operational,1996-11-08,,2000-08-18,newport,Gas,,,0.0,,
3,operational,1997-02-13,,,franklin,Oil,,,0.0,,
4,operational,1997-04-10,,1999-08-01,bristol,Gas,,,0.0,,
5,withdrawn,1997-05-09,,,bristol,Unknown,,,0.0,,
6,operational,1997-06-12,,,oxford,Gas,,,0.0,,
7,operational,1997-06-25,,1999-07-24,fairfield,Gas,,,0.0,,
8,operational,1997-07-15,,,norfolk,Gas,,,0.0,,
9,withdrawn,1997-07-22,,,norfolk,Unknown,,,0.0,,
10,operational,1997-07-24,,2000-05-01,penobscot,Gas,,,0.0,,
11,withdrawn,1997-08-05,,,plymouth,Unknown,,,0.0,,
12,operational,1997-08-15,,2000-06-19,hampden,Gas,,,0.0,,
13,operational,1997-08-22,,2001-03-31,hampden,Unknown,,,0.0,,
14,withdrawn,1997-09-30,,,middlesex,Unknown,,,0.0,,
15,withdrawn,1997-10-09,,,fairfield,Unknown,,,0.0,,
16,withdrawn,1997-10-24,,,cumberland,Unknown,,,0.0,,
17,operational,1997-12-12,,2002-09-18,rockingham,Oil,,,0.0,,
18,withdrawn,1998-01-13,,,new london,Unknown,,,0.0,,
19,withdrawn,1998-01-14,,,androscoggin,Unknown,,,0.0,,
20,withdrawn,1998-01-20,,,fairfield,Unknown,,,0.0,,
21,operational,1998-02-11,,,new haven,Gas,,,0.0,,
22,withdrawn,1998-02-16,,,new haven,Unknown,,,0.0,,
24,withdrawn,1998-02-25,,,penobscot,Unknown,,,0.0,,
25,withdrawn,1998-02-27,,,bristol,Unknown,,,0.0,,
26,withdrawn,1998-03-06,,,essex,Unknown,,,0.0,,
27,withdrawn,1998-03-13,,,hartford,Unknown,,,0.0,,
28,withdrawn,1998-03-18,,,rockingham,Unknown,,,0.0,,
29,operational,1998-03-24,,2001-01-01,hancock,Oil,,,0.0,,
30,withdrawn,1998-03-25,,,new london,Unknown,,,0.0,,
31,withdrawn,1998-03-26,,,providence,Unknown,,,0.0,,
32,withdrawn,1998-03-30,,,new haven,Unknown,,,0.0,,
33,operational,1998-03-31,,,middlesex,Unknown,,,0.0,,
34,withdrawn,1998-04-01,,,new london,Unknown,,,0.0,,
35,withdrawn,1998-04-02,,,lincoln,Unknown,,,0.0,,
36,withdrawn,1998-04-14,,,bristol,Unknown,,,0.0,,
37,operational,1998-04-29,,2002-11-05,providence,Gas,,,0.0,,
38,withdrawn,1998-05-08,,,litchfield,Unknown,,,0.0,,
40,withdrawn,1998-06-01,,,plymouth,Unknown,,,0.0,,
41,withdrawn,1998-06-04,,,barnstable,Unknown,,,0.0,,
42,withdrawn,1998-06-05,,,lincoln,Unknown,,,0.0,,
44,withdrawn,1998-07-10,,,plymouth,Unknown,,,0.0,,
45,operational,1998-07-17,,,suffolk,Gas,,,0.0,,
46,withdrawn,1998-08-18,,,plymouth,Unknown,,,0.0,,
47,withdrawn,1998-08-26,,,middlesex,Unknown,,,0.0,,
48,withdrawn,1998-09-09,,,bennington,Unknown,,,0.0,,
50,withdrawn,1998-10-29,,,hampden,Unknown,,,0.0,,
52,withdrawn,1998-11-13,,,middlesex,Unknown,,,0.0,,
54,withdrawn,1999-01-05,,,franklin,Unknown,,,0.0,,
57,withdrawn,1999-06-04,,,new london,Unknown,,,0.0,,
59,withdrawn,1999-08-18,,,new haven,Unknown,,,0.0,,
64,operational,1999-11-08,,2002-06-07,hampden,Gas,,,0.0,,
66,withdrawn,1999-12-20,,,franklin,Unknown,,,0.0,,
67,withdrawn,2000-02-25,,,middlesex,Unknown,,,0.0,,
71,withdrawn,2000-05-22,,,new haven,Unknown,,,0.0,,
72,withdrawn,2000-06-28,,,middlesex,Unknown,,,0.0,,
73,withdrawn,2000-07-07,,,fairfield,Unknown,,,0.0,,
74,withdrawn,2000-07-24,,,fairfield,Oil,,,49.0,,
77,operational,2000-10-02,,2011-05-28,berkshire,Wind,,,15.0,,
821,active,2000-12-14,,,worcester,Solar,,,4.9,,
80,withdrawn,2000-12-27,,,coos,Unknown,,,0.0,,
81,withdrawn,2001-01-02,,,york,Unknown,,,0.0,,
82,withdrawn,2001-02-14,,,barnstable,Unknown,,,0.0,,
84,withdrawn,2001-03-13,,,barnstable,Unknown,,,0.0,,
85,operational,2001-04-04,,2003-08-01,plymouth,Nuclear,,,0.0,,
89,withdrawn,2001-06-06,,,,Wind,,,454.0,,
90,operational,2001-06-08,,2004-05-01,franklin,Hydro,,,0.0,,
94,withdrawn,2001-07-17,,,hartford,Unknown,,,0.0,,
95,operational,2001-11-21,,2011-07-12,middlesex,Oil,,,620.0,,
96,operational,2001-12-12,,2003-05-20,penobscot,Hydro,,,126.0,,
98,withdrawn,2002-06-03,,,franklin,Unknown,,,0.0,,
99,operational,2002-08-08,,2004-03-10,new london,Nuclear,,,906.0,,
100,operational,2002-12-12,,2006-05-08,windham,Nuclear,,,642.0,,
101,operational,2003-01-15,,,rockingham,Nuclear,,,1265.0,,
102,withdrawn,2003-02-04,2008-10-14,,essex,Oil,,,97.0,,
103,operational,2003-03-04,,2003-06-01,fairfield,Unknown,,,0.0,,
104,withdrawn,2003-03-06,,,fairfield,Oil,,,207.0,,
105,withdrawn,2003-03-10,,,penobscot,Unknown,,,0.0,,
106,operational,2003-03-18,,2004-02-18,providence,Landfill,,,4.2,,
107,operational,2003-04-07,,2003-06-01,fairfield,Gas,,,19.0,,
108,operational,2003-05-12,,,berkshire & franklin,Wind,,,29.0,,
109,withdrawn,2003-06-12,2008-12-31,,worcester,Wind,,,0.0,,
110,operational,2003-07-07,,,tolland,Gas,,,25.0,,
111,operational,2003-07-21,,2004-06-22,coos,Hydro,,,25.0,,
112,operational,2003-09-15,,2003-10-01,suffolk,Oil,,,0.0,,
113,withdrawn,2003-09-29,,,caledonia,Unknown,,,0.0,,
114,operational,2003-10-02,,2004-06-01,fairfield,Oil,,,74.0,,
115,withdrawn,2003-10-27,2008-12-31,,fairfield,Oil,,,24.0,,
116,withdrawn,2003-11-10,,,essex,Wind,,,0.0,,
117,withdrawn,2003-12-08,,,fairfield,Unknown,,,0.0,,
118,withdrawn,2003-12-29,,,fairfield,Unknown,,,0.0,,
119,withdrawn,2004-01-16,2007-10-19,,fairfield,Unknown,,,0.0,,
120,operational,2004-05-10,,,strafford,Unknown,,,0.0,,
121,operational,2004-06-22,,2005-03-28,fairfield,Oil,,,6.0,,
122,operational,2004-07-20,,2005-01-03,new london,Oil,,,15.0,,
123,withdrawn,2004-10-04,,,somerset,Unknown,,,0.0,,
