n_type_0,n_type_1,n_type_2,n_type_3,n_type_4,n_type_5,n_type_6,n_type_7,n_type_8,n_type_9,n_type_10,n_type_11,n_type_12,mw_type_0,mw_type_1,mw_type_2,mw_type_3,mw_type_4,mw_type_5,mw_type_6,mw_type_7,mw_type_8,mw_type_9,mw_type_10,mw_type_11
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1140.0,850.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1661.0,850.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2561.0,850.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3717.0,850.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4287.0,850.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5037.0,850.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6237.0,850.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,9.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6857.0,850.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,10.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7377.0,850.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,10.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7377.0,850.0,63.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,10.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7377.0,850.0,213.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,10.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7377.0,850.0,213.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,11.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7442.0,850.0,213.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,11.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7442.0,850.0,263.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,11.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7442.0,850.0,318.5,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,11.0,1.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7442.0,850.0,318.5,56.0,520.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,11.0,1.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7442.0,850.0,518.5,56.0,520.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,11.0,1.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7442.0,850.0,564.5,56.0,520.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,11.0,1.0,6.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7442.0,850.0,564.5,56.0,520.0,189.0,0.0,0.0,0.0,0.0,0.0
0.0,11.0,1.0,7.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7442.0,850.0,602.0499992370605,56.0,520.0,189.0,0.0,0.0,0.0,0.0,0.0
0.0,11.0,1.0,8.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7442.0,850.0,640.0499992370605,94.0,520.0,189.0,0.0,0.0,0.0,0.0,0.0
0.0,12.0,1.0,8.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7514.0,850.0,640.0499992370605,94.0,520.0,189.0,0.0,0.0,0.0,0.0,0.0
0.0,12.0,1.0,9.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7514.0,850.0,790.0499992370605,94.0,520.0,189.0,0.0,0.0,0.0,0.0,0.0
0.0,12.0,1.0,10.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7514.0,850.0,907.0499992370605,94.0,520.0,189.0,0.0,0.0,0.0,0.0,0.0
0.0,12.0,1.0,11.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7514.0,850.0,943.0499992370605,94.0,520.0,189.0,0.0,0.0,0.0,0.0,0.0
0.0,13.0,1.0,11.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8164.0,850.0,943.0499992370605,94.0,520.0,189.0,0.0,0.0,0.0,0.0,0.0
0.0,13.0,1.0,11.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8164.0,850.0,943.0499992370605,94.0,520.0,189.0,145.100006103516,0.0,0.0,0.0,0.0
0.0,13.0,1.0,12.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8164.0,850.0,1144.0499992370605,94.0,520.0,189.0,145.100006103516,0.0,0.0,0.0,0.0
0.0,13.0,1.0,12.0,3.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8164.0,850.0,1144.0499992370605,94.0,520.0,189.0,193.8000068664555,0.0,0.0,0.0,0.0
0.0,13.0,1.0,13.0,3.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8164.0,850.0,1345.0499992370605,94.0,520.0,189.0,193.8000068664555,0.0,0.0,0.0,0.0
0.0,13.0,1.0,14.0,3.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8164.0,850.0,1538.8499992370605,94.0,520.0,189.0,193.8000068664555,0.0,0.0,0.0,0.0
0.0,13.0,1.0,14.0,3.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,8164.0,850.0,1538.8499992370605,94.0,520.0,189.0,193.8000068664555,10.0,0.0,0.0,0.0
0.0,13.0,1.0,15.0,3.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,8164.0,850.0,1838.8499992370605,94.0,520.0,189.0,193.8000068664555,10.0,0.0,0.0,0.0
0.0,13.0,1.0,15.0,3.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,8164.0,850.0,1838.8499992370605,94.0,520.0,189.0,243.7000083923344,10.0,0.0,0.0,0.0
0.0,13.0,1.0,15.0,3.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,8164.0,850.0,1838.8499992370605,94.0,520.0,189.0,343.60000991821335,10.0,0.0,0.0,0.0
0.0,13.0,1.0,15.0,3.0,1.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,8164.0,850.0,1838.8499992370605,94.0,520.0,189.0,418.50001144409225,10.0,0.0,0.0,0.0
0.0,13.0,1.0,16.0,3.0,1.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,8164.0,850.0,2038.8499992370605,94.0,520.0,189.0,418.50001144409225,10.0,0.0,0.0,0.0
0.0,13.0,1.0,16.0,3.0,1.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,8164.0,850.0,2038.8499992370605,94.0,520.0,189.0,564.9000053405763,10.0,0.0,0.0,0.0
0.0,13.0,1.0,16.0,3.0,1.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,8164.0,850.0,2038.8499992370605,94.0,520.0,189.0,682.9000053405763,10.0,0.0,0.0,0.0
0.0,13.0,1.0,16.0,3.0,1.0,1.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,8164.0,850.0,2038.8499992370605,94.0,520.0,189.0,839.9000053405763,10.0,0.0,0.0,0.0
0.0,13.0,1.0,16.0,3.0,1.0,1.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,8164.0,850.0,2038.8499992370605,94.0,520.0,189.0,1139.9000053405762,10.0,0.0,0.0,0.0
0.0,13.0,1.0,16.0,3.0,1.0,1.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,8164.0,850.0,2038.8499992370605,94.0,520.0,189.0,1308.6000022888181,10.0,0.0,0.0,0.0
0.0,13.0,1.0,16.0,3.0,1.0,1.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,8164.0,850.0,2038.8499992370605,94.0,520.0,189.0,1435.1000022888181,10.0,0.0,0.0,0.0
0.0,13.0,1.0,16.0,3.0,1.0,1.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,8164.0,850.0,2038.8499992370605,94.0,520.0,189.0,1966.1000022888181,10.0,0.0,0.0,0.0
0.0,13.0,1.0,16.0,3.0,1.0,1.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,8164.0,850.0,2038.8499992370605,94.0,520.0,189.0,2166.700008392334,10.0,0.0,0.0,0.0
0.0,13.0,1.0,16.0,3.0,1.0,1.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,8164.0,850.0,2038.8499992370605,94.0,520.0,189.0,2756.700008392334,10.0,0.0,0.0,0.0
