n_renewable,n_non_renewable,n_storage,mw_renewable,mw_non_renewable,mw_storage
0.0,1.0,0.0,0.0,550.0,0.0
0.0,2.0,0.0,0.0,1140.0,0.0
0.0,3.0,1.0,0.0,1990.0,16.0
0.0,4.0,1.0,0.0,2511.0,16.0
0.0,5.0,1.0,0.0,3411.0,16.0
0.0,6.0,1.0,0.0,4567.0,16.0
0.0,7.0,1.0,0.0,5137.0,16.0
0.0,8.0,1.0,0.0,5887.0,16.0
0.0,9.0,1.0,0.0,7087.0,16.0
0.0,10.0,1.0,0.0,7707.0,16.0
0.0,11.0,1.0,0.0,8227.0,16.0
1.0,11.0,1.0,63.0,8227.0,16.0
2.0,11.0,1.0,213.0,8227.0,16.0
2.0,11.0,2.0,213.0,8227.0,56.0
2.0,12.0,2.0,213.0,8292.0,56.0
3.0,12.0,2.0,263.0,8292.0,56.0
4.0,12.0,2.0,318.5,8292.0,56.0
5.0,12.0,2.0,838.5,8292.0,56.0
6.0,12.0,2.0,1038.5,8292.0,56.0
7.0,12.0,2.0,1084.5,8292.0,56.0
7.0,13.0,2.0,1084.5,8481.0,56.0
8.0,13.0,2.0,1122.0499992370605,8481.0,56.0
9.0,13.0,3.0,1160.0499992370605,8481.0,94.0
9.0,14.0,3.0,1160.0499992370605,8553.0,94.0
10.0,14.0,3.0,1310.0499992370605,8553.0,94.0
11.0,14.0,3.0,1427.0499992370605,8553.0,94.0
12.0,14.0,3.0,1463.0499992370605,8553.0,94.0
12.0,15.0,3.0,1463.0499992370605,9203.0,94.0
12.0,16.0,3.0,1463.0499992370605,9348.100006103516,94.0
13.0,16.0,3.0,1664.0499992370605,9348.100006103516,94.0
13.0,17.0,3.0,1664.0499992370605,9396.800006866455,94.0
14.0,17.0,3.0,1865.0499992370605,9396.800006866455,94.0
15.0,17.0,3.0,2058.8499992370607,9396.800006866455,94.0
15.0,18.0,3.0,2058.8499992370607,9406.800006866455,94.0
16.0,18.0,3.0,2358.8499992370607,9406.800006866455,94.0
16.0,19.0,3.0,2358.8499992370607,9456.700008392334,94.0
16.0,20.0,3.0,2358.8499992370607,9556.600009918213,94.0
16.0,21.0,3.0,2358.8499992370607,9631.500011444092,94.0
17.0,21.0,3.0,2558.8499992370607,9631.500011444092,94.0
17.0,22.0,3.0,2558.8499992370607,9777.900005340576,94.0
