n_renewable,n_non_renewable,n_storage,mw_renewable,mw_non_renewable,mw_storage
0.0,1.0,0.0,0.0,500.0,0.0
0.0,2.0,0.0,0.0,1250.0,0.0
0.0,3.0,0.0,0.0,1970.0,0.0
0.0,4.0,0.0,0.0,2720.0,0.0
0.0,5.0,0.0,0.0,2840.0,0.0
0.0,6.0,0.0,0.0,3155.0,0.0
0.0,7.0,0.0,0.0,3180.0,0.0
0.0,7.0,0.0,0.0,3180.0,0.0
0.0,7.0,0.0,0.0,3180.0,0.0
0.0,8.0,0.0,0.0,3186.0,0.0
0.0,9.0,0.0,0.0,3387.0,0.0
0.0,10.0,0.0,0.0,3987.0,0.0
0.0,11.0,0.0,0.0,4790.0,0.0
0.0,12.0,0.0,0.0,5290.0,0.0
0.0,13.0,0.0,0.0,6055.0,0.0
0.0,14.0,0.0,0.0,6855.0,0.0
0.0,15.0,0.0,0.0,7155.0,0.0
0.0,16.0,0.0,0.0,7712.0,0.0
0.0,17.0,0.0,0.0,8233.0,0.0
0.0,18.0,0.0,0.0,8245.0,0.0
0.0,19.0,0.0,0.0,8970.0,0.0
0.0,20.0,0.0,0.0,9720.0,0.0
0.0,21.0,0.0,0.0,9977.0,0.0
0.0,22.0,0.0,0.0,10702.0,0.0
0.0,23.0,0.0,0.0,11702.0,0.0
0.0,24.0,0.0,0.0,11882.0,0.0
0.0,25.0,0.0,0.0,11982.0,0.0
0.0,26.0,0.0,0.0,12597.0,0.0
0.0,27.0,0.0,0.0,13062.0,0.0
0.0,28.0,0.0,0.0,13527.0,0.0
0.0,29.0,0.0,0.0,13571.0,0.0
0.0,30.0,0.0,0.0,13871.0,0.0
0.0,31.0,0.0,0.0,14471.0,0.0
0.0,32.0,0.0,0.0,14996.0,0.0
0.0,33.0,0.0,0.0,15084.0,0.0
-1.0,34.0,0.0,-10.0,15098.0,0.0
-1.0,35.0,0.0,-10.0,15112.0,0.0
-1.0,36.0,0.0,-10.0,15126.0,0.0
-1.0,37.0,0.0,-10.0,15136.0,0.0
-1.0,38.0,0.0,-10.0,15901.0,0.0
-1.0,39.0,0.0,-10.0,16001.0,0.0
-1.0,40.0,0.0,-10.0,16750.0,0.0
-1.0,41.0,0.0,-10.0,17152.0,0.0
-1.0,42.0,0.0,-10.0,17904.0,0.0
-1.0,43.0,0.0,-10.0,18669.0,0.0
-1.0,44.0,0.0,-10.0,18742.0,0.0
-1.0,45.0,0.0,-10.0,19191.0,0.0
-1.0,46.0,0.0,-10.0,20462.0,0.0
-1.0,47.0,0.0,-10.0,21292.0,0.0
-1.0,48.0,0.0,-10.0,21764.0,0.0
-1.0,49.0,0.0,-10.0,21789.0,0.0
-1.0,50.0,0.0,-10.0,21969.0,0.0
-1.0,51.0,0.0,-10.0,22719.0,0.0
-1.0,52.0,0.0,-10.0,23469.0,0.0
-1.0,53.0,0.0,-10.0,23727.0,0.0
-1.0,54.0,0.0,-10.0,23787.0,0.0
-1.0,54.0,0.0,-10.0,23787.0,0.0
-1.0,55.0,0.0,-10.0,24287.0,0.0
-1.0,56.0,0.0,-10.0,24317.0,0.0
-1.0,57.0,0.0,-10.0,24817.0,0.0
-1.0,58.0,0.0,-10.0,25267.0,0.0
-1.0,59.0,0.0,-10.0,25717.0,0.0
-1.0,60.0,0.0,-10.0,26257.0,0.0
-1.0,61.0,0.0,-10.0,26936.0,0.0
-1.0,62.0,0.0,-10.0,27334.0,0.0
-1.0,63.0,0.0,-10.0,27414.0,0.0
-1.0,64.0,0.0,-10.0,28154.0,0.0
-1.0,65.0,0.0,-10.0,28904.0,0.0
-1.0,66.0,0.0,-10.0,29169.0,0.0
-1.0,67.0,0.0,-10.0,29969.0,0.0
-1.0,68.0,0.0,-10.0,30269.0,0.0
-1.0,69.0,0.0,-10.0,30794.0,0.0
-1.0,70.0,0.0,-10.0,30799.0,0.0
-1.0,71.0,0.0,-10.0,31399.0,0.0
-1.0,72.0,0.0,-10.0,31735.0,0.0
-1.0,73.0,0.0,-10.0,31903.0,0.0
-1.0,74.0,0.0,-10.0,32403.0,0.0
-1.0,74.0,0.0,-10.0,31687.0,0.0
0.0,74.0,0.0,0.0,31687.0,0.0
0.0,75.0,0.0,0.0,32237.0,0.0
0.0,76.0,0.0,0.0,32787.0,0.0
0.0,77.0,0.0,0.0,32789.1,0.0
0.0,77.0,0.0,0.0,33527.1,0.0
0.0,77.0,0.0,0.0,33290.1,0.0
0.0,78.0,0.0,0.0,33360.1,0.0
0.0,79.0,0.0,0.0,34285.1,0.0
0.0,80.0,0.0,0.0,34295.0,0.0
0.0,80.0,0.0,0.0,33800.0,0.0
0.0,81.0,0.0,0.0,33888.0,0.0
